satellite_catalog_number,international_designator,epoch_year,epoch_day,mean_motion_derivative,mean_motion_derivative_2nd,bstar_drag_term,element_number,inclination,right_ascension,eccentricity,argument_of_perigee,mean_anomaly,mean_motion,revolution_number_at_epoch
00011,32.8658,51,.7137 145388,158.5457,08.2991,1.887993,6215,59001B,24284.1,089665,.0000326,00000-,19170-2 0,999
00015,59004  A,59,272.62543869,.00008106,+00000-0,+00000-0,999,046.9509,049.6823,7601812,047.2577,341.8928,01.88913924,00100
00016,34.2635,86,.1468 202437,39.7474,33.5182,0.494442,2420,59004,61008.8,131000,.0007022,+00000-,+00000-0 0,999
00018,59005  A,59,269.32477950,.04655228,+00000-0,+00000-0,999,079.9899,251.4819,0140209,012.7649,347.4143,16.16111033,00680
00019,83.9999,86,.5094 022221,326.3932,34.3056,5.837318,0720,59007A,24284.2,884432,.0000424,00000-,17106-2 0,999
00022,59009A,24,283.81178517,.00017574,00000-0,92248-3,999,50.2763,223.5140,0105937,195.8097,163.9541,15.10991568,70671
00023,50.2674,26,.9734 001834,032.5712,27.5638,6.135613,8050,59010,59324.7,896999,.0315905,+00000-,+00000-0 0,999
00025,59011  A,60,067.96672797,.09310919,+00000-0,+00000-0,999,080.6499,290.2565,0094843,170.3363,189.7568,16.35855842,01594
00026,78.9399,21,.1425 010375,073.2921,87.2863,6.229235,5290,60002,91183.4,209206,.2081090,+57222-,+14739-2 0,999
00029,60002B,24,283.76272144,.00003912,00000-0,57660-3,999,48.3773,66.1953,0022518,141.5888,218.6632,14.76976737,45109
00030,51.2500,56,.4892 000000,331.9473,28.0526,6.293583,7590,60003,67275.6,017494,.0166936,+00000-,+00000-0 0,999
00032,60004  A,60,115.70328308,.04582881,+00000-0,+00000-0,999,080.0999,205.8192,0176930,121.6216,239.2608,16.05408684,00140
00033,51.2879,36,.0668 024275,196.7800,63.6100,5.383433,2700,60005,62247.4,570340,.0205151,+00000-,+00000-0 0,999
00035,60005  B,60,198.16679572,.03271057,+00000-0,+00000-0,999,064.8899,044.6976,0000000,036.3819,323.6180,16.27523673,00990
00036,64.9598,14,.3796 002704,289.2310,70.4777,6.314787,0843,60005,61074.6,882873,.0003900,+00000-,+00000-0 0,999
00038,60005  E,60,232.69066809,.00610805,+00000-0,+00000-0,999,064.8899,302.1218,0034213,049.4823,310.6691,15.88909013,01500
00039,64.8899,24,.0258 005994,055.6628,04.6251,5.825103,1400,60005,60196.9,540115,.0037652,+00000-,+00000-0 0,999
00041,60005  H,60,213.55741600,.00877296,+00000-0,+00000-0,999,064.8899,009.0399,0041880,060.9395,299.2735,15.87027825,01200
00042,64.8899,12,.6938 012567,047.5739,12.9645,5.781454,1450,60006,74037.7,776050,.0098854,+09018-,+01753-4 0,999
00044,60006  B,60,339.48320007,.05617416,+00000-0,+00000-0,999,033.0000,103.1687,0000000,237.9085,122.0914,16.16822545,02990
00045,66.6946,86,.7959 025841,248.7929,08.5390,4.350002,9172,60007B,24284.2,001219,.0000398,00000-,77423-3 0,999
00047,60007C,24,283.83868157,.00002459,00000-0,54612-3,999,66.6649,259.0462,0228530,231.0191,127.0363,14.43968500,36191
00048,82.8499,40,.5639 004185,221.9110,38.2461,6.109873,1450,60009,68144.8,617407,.4198828,+00000-,+00000-0 0,999
00050,60009B,24,283.71613649,-.00000041,00000-0,41483-3,999,47.2308,272.0980,0113792,340.1500,19.4883,12.20147070,86255
00051,47.2111,53,.5619 010639,165.8773,94.5028,2.183374,5614,60009D,76059.2,960648,.0000022,+00000-,+10000-3 0,999
00053,60009E,24,283.74001709,.00000018,00000-0,10239-2,999,47.2761,80.7380,0099671,57.6653,303.3741,12.17351115,86045
00054,79.6499,91,.9186 000000,070.2736,89.7263,6.454398,0450,60011,60232.6,329979,.0000000,+00000-,+00000-0 0,999
00056,60011  B,60,267.06075999,.41473555,+00000-0,+00000-0,999,064.9400,008.3000,0007000,015.2810,344.7297,16.37352814,00555
00057,80.9000,50,.4820 013790,045.7500,14.8230,6.184516,0510,60013A,24283.7,180610,.0000016,00000-,12019-3 0,999
00059,60013B,24,283.63822523,.00000283,00000-0,25448-3,999,28.2493,46.3307,0188871,187.9845,171.7669,13.53097391,15973
00060,49.8769,97,.0017 001431,253.4265,06.9983,6.394205,8617,60015,60364.0,705382,.1095554,+00000-,+00000-0 0,999
00062,60014  B,85,299.99371213,.22611759,+59541-4,+14030-2,999,049.8852,300.2652,0004622,342.1851,017.9663,16.41189261,23697
00063,48.4363,77,.0735 000269,070.9689,89.2672,6.415665,1631,60016,81266.6,980638,.0753201,+56009-,+21805-2 0,999
00065,60017  A,60,336.92132948,.03564668,+00000-0,+00000-0,999,065.0000,216.0710,0035092,066.5949,293.5926,16.29251414,00010
00066,65.0000,12,.5878 000000,066.1541,93.8458,6.498380,0025,60018,61089.8,313007,.0216634,+00000-,+00000-0 0,999
00068,60019  A,61,019.69206429,.02230165,+00000-0,+00000-0,999,083.3999,075.4323,0097000,059.4404,301.0452,16.11424390,00470
00069,49.2657,17,.1807 003313,020.6026,39.6235,5.950211,5672,61001,73292.9,472414,.0144324,+04320-,+00000-0 0,999
00071,61002  A,61,047.49722528,.00429368,+00000-0,+00000-0,999,064.8999,143.3748,0088244,053.9095,306.5050,16.13209726,00200
00072,64.9004,66,.3199 001418,050.9188,09.1453,6.203951,0100,61002,61074.8,322116,.0221768,+00000-,+00000-0 0,999
00074,60016  C,89,127.00883376,.02098965,+49187-2,+22120-2,999,048.5374,350.7700,0009533,238.7285,120.9850,16.11032606,54541
